,id,phrases
0,0,"Reducir a la mitad el número de diputados de la Asamblea de Madrid y suprimir el despilfarro político, acabando con las subvenciones a sindicatos y patronales. Limitar a 7 consejerías el Gobierno de la Comunidad y eliminar todos los entes públicos que realizan funciones que ya hace o que puede asumir la administración central, empezando por Telemadrid. "
1,1,"Bajada radical e inmediata de impuestos que alivie a las PYMEs, a los autónomos y a los trabajadores. Todo ello sin incrementar la deuda. "
2,2,"Proteger la salud y la libertad. Porque es compatible devolver la libertad a los madrileños, arrebatada por un Estado de Alarma ilegal, con la protección de nuestra salud. Debemos destinar todos los recursos públicos a combatir la emergencia sanitaria y económica. Prioridad de los españoles en el acceso a las ayudas sociales. "
3,3,"Indemnizar a todos aquellos a los que se les ha prohibido trabajar, porque todo empleo es esencial Eliminar todas las restricciones de horarios y el toque de queda en la región. Facilitar la creación de empleo digno y estable a través de la eliminación del infierno burocrático: supresión de 5 normas reguladoras por cada una nueva. Acabar con las imposiciones ideológicas en el mercado laboral."
4,4,"Proteger a las madres y a las familias Combatir la brecha maternal con ayudas directas a la natalidad, además de un plan de deducciones fiscales. Ningún español debe dejar de formar una familia por falta de apoyo de las administraciones, que deben atender especialmente a los dependientes y a los mayores. Defensa de la vida y la dignidad de todos frente a la cultura del abandono y la muerte."
5,5,Garantizar el acceso a la vivienda Liberalizar todo el suelo que no esté especialmente protegido. Su regulación provoca una escasez artificial que eleva los precios y ha sido el principal foco de corrupción política. Construcción de viviendas sociales para garantizar que los jóvenes y familias puedan tener un hogar.
6,6,Recuperar la vida de nuestros barrios. Persecución real de las mafias de la “okupación” y las bandas callejeras. Lucha contra los narcopisos y el tráfico de droga. Defensa del comercio de proximidad con medidas de apoyo directo. Revertir la degradación de los barrios. Regulación de la proliferación de casas de apuestas. 
7,7,"Expulsar de forma inmediata a los inmigrantes ilegales y a los legales que cometan delitos graves o leves de manera reiterada. Exigir al gobierno de Pedro Sánchez la protección de las fronteras nacionales y el fin del efecto llamada, devolviendo a sus países a los que han entrado ilegalmente. Clausurar los centros de MENAS y cerrar las mezquitas fundamentalistas que justifican la violencia contra la mujer o los homosexuales, y que crean inseguridad en nuestras calles. "
8,8,Derogar las leyes ideológicas del Partido Popular que permiten adoctrinar a los menores en las aulas. Proteger el derecho fundamental de las familias a elegir el tipo de educación que quieren para sus hijos: derecho a elegir el centro educativo y a supervisar los contenidos de las asignaturas complementarias y extraescolares. Establecer el cheque escolar y asegurar que la educación es un mecanismo adecuado para la mejora personal y social. 
9,9,"Proteger radicalmente nuestro campo y la forma de vida rural. Reivindicación del estilo de vida, la cultura y las tradiciones del mundo rural. Mejora de la seguridad en las explotaciones y refuerzo de las ayudas ante catástrofes meteorológicas. Protección de nuestro sector primario frente a la competencia desleal de productos extranjeros. Defensa de la caza y su contribución al equilibrio del ecosistema. Promoción de industrias locales y establecimiento de servicios públicos que impidan despoblación y abandono de las pequeñas localidades."
